COc1ccc(cc1)C(O)=O OC(=O)c1ccc(c(c1)C(O)=O)[N+]([O-])=O
CC1CC2C3CCC(O)(C(=O)COC(=O)CCC(O)=O)C3(C)CC(O)C2C4(C)C=CC(=O)C=C14 C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C CC1CC2C3CCC(O)(C(=O)CO)C3(C)CC(O)C2C4(C)C=CC(=O)C=C14
CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
CCCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CO C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2O
CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(C)=O C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO C1=CC(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C12C
CSC(=O)C1(OC(C)=O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO
COC(=O)c1ccccc1C(=O)c2ccccc2 Oc1cc(O)c(c(O)c1)C(=O)c2ccccc2
O=C(c1ccccc1)c2ccccc2 CC(C(=O)OCC(=O)N(C)CC(N)=O)C1=CC(=CC=C1)C(=O)C2=CC=CC=C2
CC1=CC=C(C=C1)C(=O)C2=CC(=C(O)C(=C2)O)[N+]([O-])=O CN(C(=O)CNC(=O)CN)C1=C(C(=O)C2=C(Cl)C=CC=C2)C=C(Cl)C=C1
Fc1ccc(cc1)C(=O)c2ccc(F)cc2 Oc1cc(O)c(c(O)c1)C(=O)c2ccc(O)c(O)c2
COc1ccc(c(O)c1)C(=O)c2ccccc2 CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C
COc1ccc(cc1C)C(=O)c2cccc(C)c2 CC(C(=O)O)C1=CC=CC(C(=O)C2=CC=CC=C2)=C1
O=C(C1=CC=CC=C1)C2=CC=CC(=C2)N=C=S OC(=O)c1ccccc1C(=O)c2ccc(Cl)cc2
CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2 CCOC(=O)c1ccccc1C(=O)c2ccccc2
Fc1ccccc1C(=O)c2cc(Cl)ccc2NC(=O)CBr OC(=O)c1ccccc1C(=O)c2ccccc2O
Clc1ccc(NC(=O)CBr)c(c1)C(=O)c2ccccc2Cl O=C(O)C1=C(C(=O)C2=CC=C(O)C=C2)C=CC=C1
COc1ccc(c(O)c1)C(=O)c2ccccc2O Oc1ccc(cc1O)C(=O)c2ccccc2
CCCCCCOC(=O)c1ccccc1C(=O)c2ccc(cc2O)N(CC)CC OC(=O)c1ccccc1C(=O)c2ccc(Br)cc2
Nc1ccc(Cl)cc1C(=O)c2ccccc2Cl Oc1ccc(c(O)c1O)C(=O)c2ccccc2
CC(C)(C)c1ccc(OCC2CO2)cc1 Cc1ccccc1OCC2CO2
C#CCC(NC(=O)OC(C)(C)C)C(=O)NCC(=O)OC CC(=C)C(N)=O
CC(C)([S](C)(=O)=O)[S](C)(=O)=O CC(N)(CO)CO
OC(=O)CSSSSCC(O)=O CCCOCC(O)COCCC
CCCCl CC(C)CC(O)=O
CCNC(=O)CS[P](=S)(OC)OC OCCNC(=O)C(=O)NCCO
CC(C)O[N+]([O-])=O CC(C)N
CCCCCCCCCCCCOCCO CC(C)[C@H](NC(C)=O)C(O)=O
FC(F)Cl CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C
CCNC(=S)NCC OC(=O)COCCOCC(O)=O
COC(=O)CCCCC(=O)OC O[C@@H]([C@H](O)C(O)=O)C(O)=O
CCCCC(O)CC OCC(O)CCl
C=CC#C OCC[N+]([O-])=O
CCSCC CC(=O)CC(O)=O
OC(=O)CN(CCCN(CC(O)=O)CC(O)=O)CC(O)=O CCCCNCCO
NC(=O)OCCCCC CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O
CCOC(C)(C)CC CN(C)CCOC(=O)C(C)=C
CC(=O)OCC=C(C)C CCN(CC)C(=O)\C(Cl)=C(/C)O[P](=O)(OC)OC
O=C=O CCOC(=O)CCCCC(O)=O
CCCCCO[P](=O)(OCC)OCC C=CCNCC=C
FC(F)(F)COC=C CN(C)[P](=O)(O[P](=O)(N(C)C)N(C)C)N(C)C
CCCC(=O)CCC OCCN(CCO)N=O
NC(=O)C(F)(F)F CC(O)CC=O
NC(N)=N[N+]([O-])=O CN(CC(O)=O)N=O
N[C@@H](CSC(/Cl)=C/Cl)C(O)=O O[P](O)(=O)CCCl
CSSC CC(=C)C=O
CNC(=O)O\N=C\C(C)(C)SC O[C@H]([C@H](O)[C@H](O)C(O)=O)[C@H](O)C(O)=O
CCCCO[P](=O)(OC)OCCCC CNC(=O)CS[P](=O)(OC)OC
BrCC=C CC(C)COC(N)=O
CCC(Cl)(Cl)[N+]([O-])=O CC(Cl)(Cl)C(O)=O
FC(F)(F)C(F)(F)C(=O)C(F)(C(F)(F)F)C(F)(F)F CN(C)[P](=O)(N(C)C)N(C)C
CCCC(CCC)C(=O)NCCCC(=O)O CC(O)([P](O)(O)=O)[P](O)(O)=O
CC(=O)OCCS CC/C(C)=N/O[Si@](C)(O\N=C(C)\CC)O\N=C(C)\CC
ClCCS(=O)(=O)CCl OC(=O)C(Cl)(Cl)Cl
ClCC[S](=O)(=O)CCCl CCC(=O)CC
CCCCNCCCC O[S](=O)(=O)C(Cl)[S](O)(=O)=O
CCCO[N+]([O-])=O NC(=O)C(=NO)C(N)=O
CC(C)(C)Cl OC(=O)C(Cl)=C(Br)Br
CCC(C)(OO)OOC(C)(CC)OO CCCO[P](=O)(OC)OCCC
NC(=N)NCC(=O)O CCC(O)CN
CCO[P](=O)(OCC)SC[S](=O)CC CCC(C)N
O[P](O)(=O)CN(CCCCCCN(C[P](O)(O)=O)C[P](O)(O)=O)C[P](O)(O)=O NNC(=O)C(O)C(O)C(O)C(O)CO
FC(F)OC(F)(F)C(F)Cl CC(C)(S)[C@@H](N)C(O)=O
CC(C)OC(C)C OC(=O)CC(O)(CC(O)=O)C(O)=O
CCC(CC)C=O NCCCCCCCCCCN
CC(C)CCOC=O CCC(CCC(O)=O)C(C)=O
CC(C)COC=C COC(=O)C(F)(F)F
CC(C(O)=O)C(C)(C)CCC(O)=O CCCCCCCCCCCC[N+](C)(C)CC(O)C[S]([O-])(=O)=O
OC(=O)CC(N(CCC#N)CCC#N)C(O)=O COCCOC
CCCC(=O)N(C)N=O CC(=O)NCC(O)=O
CCO[P](=S)(OCC)SC[S](=O)CC NC(=S)NCC=C
ClC(Br)Cl O=C(O)C(N)CC(=O)N
CC(C)(C)CCCO CC(O)(CCl)CCl
CCCO[P](=O)(OCCC)OCCC CCO[P](=O)(OCC)SCC(=O)NC(C)(C)C#N
CCCCCCC(O)C(O)C(O)=O CCCCOCCO
CCCCOCC NCC(O)CO
CCCCCC(C)O OCCOCC#CCOCCO
S=C=S CN(C)N
CCCC(=O)OCCOCCOCCOC(=O)CCC COCC(C)OCC(C)OC(C)CO
CCC(C)(CC)OC(N)=O NC(N)=NCC[S](O)(=O)=O
CCCCC(=O)CC(=O)C OCC(O)=O
[O-][N+](=O)OCCOCCOCCO[N+]([O-])=O CN(C)CCOC(=O)C=C
CCC(CC)(C#N)C(=O)NC(N)=O CCC(O)\C=C\C
[N-]=[N+]=O OCC(Cl)(Cl)Br
CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O OCC(O)COC(=O)CS
CCCCO[P](=O)(CC)OCCCC CCCC(O)C=C
CC(C)C[C@H](N)C(=O)N[C@H](CCC(N)=O)C(O)=O CC=O
CCOC(=O)C(C)C=C OC(=O)CCC(N(CCC#N)CCC#N)C(O)=O
ClCC(Cl)Cl CO[P](C)(=O)OC
OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O NCCNCCNCCNCCNCCN
CCCC(C)(O)CCC CC(O)COC(=O)C=C
ClC(Cl)=C NC(CCCNC(N)=N)C(O)=O
ClC/C=C/Cl CCOCCOCCOCCOC(=O)C(C)=C
CC(C)Br CCOC(=O)C(C)OC(C)=O
CC(C)CC(=O)CC(=O)C OC(=O)C[C@@H](Cl)C(O)=O
CCCCCCCC(=O)N(C)C NN
CC(C)CC(C)CO CCOC(CC(C)O)OCC
CCI COC(=O)CC(C)=O
CCCCCOC=O CC(=C)C(=O)OCCOC(=O)CCC(O)=O
CCCS CC(C)(C)NC(N)=O
CC(C)C(=O)OOC(C)(C)C OCC(Br)(CO)[N+]([O-])=O
ClCCO[P](=O)(OCCCl)OCCCl CCOCCC(=O)OC
CN=C(N)N N
ClCCCCl CCN(CC)CC#C
C\C(Cl)=C\Cl CCC(CO)[N+]([O-])=O
CC(Cl)=CCl CC(O)C([N+]([O-])=O)[N+]([O-])=O
FC(F)OC(Cl)C(F)(F)F CC(C(=O)O)N(CCC#N)CCC#N
ClC(Cl)C(=O)N(CC=C)CC=C CN(C)C=O
O=C(ON=C(C(C)(C)C)CSC)NC NC(N)=NCCCCCCCCNCCCCCCCCN=C(N)N
CC(C)=CCCC(C)=O CCC(C)C(N)C(O)=O
CC(Cl)CCl CNC(C)=O
CCC(Cl)Cl CCCNCCC
CCOC(=O)CC(S[P](=O)(OC)OC)C(=O)OCC CN(C)C
CNC(=O)O\N=C(\CSC)C(C)(C)C CC(C)(N)C#C
OC(=O)CCCCCCCCCC(O)=O CC(C)(N)CO
CC(C)(C)C(=O)CC(=O)C CC(C)(C)C(O)=O
CCC(C)CC(=O)CC NCCCCCC(O)=O
CCCCNC(=O)OCCOC(=O)C=C OC(=O)CN(CCC#N)CCC#N
CCCCN(CCO)CCCC CC(=O)OC(C)=O
CCCC#C OC(=O)CC(S)C(O)=O
CCCCOC(=O)CCOCC OC(CC)(CC)CC
NNC(=N)N[N+]([O-])=O OCC(C)C
CCOC(OCC)C(Cl)(Cl)Cl CC(=O)OCCCOC(C)=O
N#CCN(CC#N)CC#N NCCNCCNCCNCCN
CCCCCCC(C(O)=O)C(O)=O OCC(F)(F)F
CC(CCO[N+](=O)O)O[N+](=O)O CC(=O)C(C)=O
CCOC(=O)CC(=O)C(F)(F)F C#N
CCCCCCC(O)=O CC(=O)C(O)=O
CC(COCC(C)OC(=O)C=C)OC(=O)C=C CCOC(=O)C(=O)OCC
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN CCC(SC(CC)C(=O)O)C(=O)O
CCOC(=O)CCCCC(=O)OCC NC(=O)NN=CC(O)C(O)C(O)CO
BrCCBr NC(=O)NCC(O)=O
C(CCO[N+](=O)O)CO[N+](=O)O CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O
CCCOCCC(=O)OCCC CCC(O)=O
CC(C)C(O)(CCC(C)(O)C(=O)O)C(=O)O COCCOC(=O)C=C
[O-][N+](=O)OCCOCCO[N+]([O-])=O CC(CC(O)=O)C(O)=O
CCSC(=O)N(CC)CC OC(=O)CN(C[P](O)(O)=O)C[P](O)(O)=O
CCCCCC(=O)CC CC(=O)C=CC(O)=O
C=CCN=C=S CCCC(N)C(O)=O
NC(=S)NC(N)=S IC#N
CCOC(=S)SC(CC(N)=O)C(=O)O NC(CO)(CO)CO
FC(F)(F)C(Cl)Br OCCCCl
ClC\C=C/Cl CCC(C)(C)OO
CCCBr CN(N=O)C(N)=O
CCOC(=O)CO[N+]([O-])=O CCCCCCCC(=O)NCCCC[C@H](N)C(O)=O
ClCC(Cl)=C CN(C)CCCN
CCCCC(CC)CN C[C@@H](O)CCCC=O
CCCCO[P](=O)(CCCC)CCCC CC(CCO)CCO
CCCCCC(C)(C)O CC(O)C(O)C(O)C(O)C=NNC(N)=O
CCC(CO)(COCC=C)COCC=C CCC(=O)NCCNC(=O)CC
CCOC(=O)C(Cl)C(=O)OCC CC(C)(C)OC(N)=O
CC(F)(F)Cl O[C@H]([C@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O
ClCCNC(=O)N(CCCl)N=O CC(C)C(=O)OC(=O)C(C)C
CC(C)OC(=O)CCC(=O)OC(C)C CCCCNCC
CN(C)C(N)=N CCCCCCC(CC=CCCCCCCCC(O)=O)O[S](O)(=O)=O
SC(=O)CCCCC(S)=O O=C(OCC)C=C
CCCCC(C)(O)CC CC(C)(C)OO
C=CCN(CC=C)CC=C CCOCCC(=O)OCC
CCCC(C)(COC(N)=O)COC(N)=O CCOC(C)C(=O)C(O)O
Br\C=C\Br CC(C)C(C)(C)O
OCCCCCCC=C CCCCOCC(C)OCC(C)O
CCNC(=S)OC(C)C CC(C)(S)C(N)C(O)=O
C#CCCCC#C CCCC(N)=O
CCC(CC)COC(=O)N[S](N)(=O)=O CNC(=S)NN
CCCCCCC=O OC(=O)C(F)(F)Cl
ClC(Cl)C(Cl)Cl CC(=O)OC=C
CCO[P](=O)(OCC)C(Cl)(Cl)Cl CC(=O)OCC(=C)COC(C)=O
CC(=C)C(=O)OCC=C C=C
CC(Cl)(Cl)[N+]([O-])=O CNC(CC(O)=O)C(O)=O
C[Si](C)(C)CN CO[S](C)(=O)=O
NC(=O)C[NH+](CC([O-])=O)CC([O-])=O OCCS
CC[C@H](C)[NH2+][C@H](C)CC COC(OC)\C=C/C(OC)OC
O=C(O)C=CC=CC CC(=O)NC(=O)NC(C)=O
C\C=C\C=C\C(O)=O CC(C)(C)C(C)(C)O
[O-][N+](=O)C(Br)([N+]([O-])=O)[N+]([O-])=O CC(CO)(CO)C=O
CCCCC(=O)OCC NC(=O)NO
CC(C)=CCCC(C)(O)C#C CCCOC(=O)CC
CC(C)(C)S CC(OC(C)=O)C#N
NC(=S)NNC(N)=S CCS
CC(C)(C)OC(=O)C=C C[Si](C)(O)O
CC(C)COC(=O)C=C CC(C)O[P](S)(=S)OC(C)C
C[Si](C)(C)CCN CCCCO
CC(C)C(NC(N)=O)NC(N)=O CC(C)C(NC(=O)CN)C(O)=O
CC(=C)CCl C=CCOCC=C
CCCCC(O)C(C)C CCOC(=O)N(C)CC
CCOC(=O)CC(C)C CCCCN(C)N=O
CC(C)CCOC(C)=O OCCOCCOCCO
CCCCC(=O)NCCNC(=O)CCCC OCCNCCO
CCC(CC)(CC)NC(N)=O O[P](O)(=O)CN(CCCCCCN(C[P](O)(O)=O)C[P](O)(O)=O)CCCCCCN(C[P](O)(O)=O)C[P](O)(O)=O
COC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC(C)=O CC[NH+](C)CC
CC(SCSC(C)C(=O)O)C(=O)O CCC(=O)C(C)C
CCCCCC(O)C=C OC(=O)CNC=O
CCCC(Br)(CCC)C(N)=O OCCCCOC=C
CCC(C)S CCC(N)C(O)=O
CCCC(O)C(C)CC CCN(CC)C(=O)OC
CCCCCCCO ClCBr
CCSCCS[P](=O)(OC)OC NCCNCCO
CCCCO[P](=O)(OCC)OCCCC CC(C)C(C)CO
CC(Br)CCl CC\C=C(/C)C=O
CCCCCCCN CCN(C)N=O
CCCC(CCC)C(O)=O CC(C)=CC=O
CCCCC(CC)C(O)=O CN(C)C(N)=O
CCC(C)CC(O)CC C[S](F)(=O)=O
CCO[P](=S)(OCC)SCC[S](=O)CC CSC
CCCCOCCOCCOCCCC CCC(CO)(CO)CO
FC(F)(F)C(Cl)Cl OC(=O)CC#N
NC(CCCC(O)=O)C(O)=O OC(=O)C=C
C=CC=C COC(=O)\C=C(/C)O[P](=O)(OC)OC
CCCCCC(=O)OC CCCN(CCC)N=O
CC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C C[C@@H](C[C@@H](C)C([O-])=O)C([O-])=O
CCCCOC(=O)C=C O=[Se]=O
CCCC(C)CC(C)O CCCCC(O)=O
CCCCCOC(C)=O CC(=C)C(=O)OC(=O)C(C)=C
CCC(=O)OCC(C)C FC=C
CC(Cl)C(Cl)Cl O=C(CCCC)C
CCC(Cl)(Cl)Cl CCNC(C)C(O)=O
CCC(CO[N+](=O)O)O[N+](=O)O CNC(=S)NC
CC(C(C)O[N+](=O)O)O[N+](=O)O CCCN(=O)=O
OC(=O)CCCCCCCC(O)=O CC(O)CCO
ClC(Br)Br OCC(CO)OCC=C
CC(=C)C(=O)OCCOCCOCCOC(=O)C(C)=C NC(N)=S
FC(Br)C(F)(F)F CCCN
CCCOC(=O)CCC OC(=O)CC(O)=O
CCCC(O)CC(C)C O=C(OCC)CC
CCC(C)([S](=O)(=O)CC)[S](=O)(=O)CC NCC[S](O)(=O)=O
BrC(Br)Br NCC=C
CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC CC(=O)NCCNC(C)=O
NC(=O)OCCCCCC C[C@@H](CCO)CCC=O
NC(=O)NC(=O)C=CC(O)=O O=C(NC(=O)C)N
ClCCN(Cl)CCCl OC[C@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO
CCCCCCCCOCC(O)CO NC(CO)CO
ClCC(Cl)CCl CCC(=O)OOC(=O)CC
[O-][N+](=O)C(Cl)([N+]([O-])=O)[N+]([O-])=O CCC(CO)(CO)COCC=C
CC[S](=O)(=O)C(C)(C)[S](=O)(=O)CC OC(=O)CCC(N(CC(O)=O)CC(O)=O)C(O)=O
CCC(O)CCC(C)C NO
O=C(NCCCCCCNC(=O)OCCCCO)OCCCCO CC(=O)C(CCC)C(=O)C
C\C=C/C CC(O)=O
N#CSCC(CSC#N)SC#N CC(C)C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O
CCCCOC(=O)CC CC(=O)OCCBr
C\C=C\C C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
CCC=C ClCCOCCOCCCl
ClCCCBr CCCCC(C(O)=O)C(O)=O
CCCCOCCOCCCC CCC(CC)C(O)=O
ClCC[S](=O)(=O)CCOCC[S](=O)(=O)CCCl OC(C(O)=O)C(Cl)(Cl)Cl
CCCS(=O)(=O)C(S(=O)(=O)CCC)S(=O)(=O)CCC CC(=O)OC(C)(C)C
CC(C=NNC(N)=O)=NNC(N)=O CCC(O)CNCC(O)CC
C[Si](C)(C)CCCN CC(C)C(N)C(O)=O
CC(C)CO[N+]([O-])=O CC(C)C(O)=O
CCCCC[N+]([O-])=O CSC(=NC)N(C)C
COC(=O)N(C)C(=O)CS[P](C)(=S)OC BrCC#C
CC(C)=CCl CC(C)N[P](F)(=O)NC(C)C
C/C=C/CCl OCC(O)CO[P](O)(O)=O
OCC(CO)(CO)COCC(CO)(CO)CO OCC#CCO
FC(Cl)C(F)(F)F CCC(O)C(Cl)(Cl)Cl
CCC(CC)(C(=O)NC(N)=O)C(=O)OC CC(O)C(C)C=O
ClC=C(Cl)Cl CC(C)(O)CCl
CCCC(C)C(O)CC CC(C)O[P](C)(=O)OC(C)C
OC(=O)CS N\C(NO)=C(/N)N=O
CC(C)=CCCC(C)(O)C=C CN(C)CCCNCCCN(C)C
FC(F)(Cl)Cl CC(N)=O
CO[P](=S)(OC)SCC(=O)N(C)C=O CCCCN
C=CCCCCCC=O COCC(O)=O
COC(C)C(C)Cl CCCC(=O)CC
CC(C)CCl CCC(C)NCCO
CCC(C)Cl CNC(=O)C=C(C)OP(=O)(OC)OC
CC(CCl)OC(C)CCl COC(=O)C(=O)OC
[O-][N+](=O)C(Cl)(Cl)Cl CC(CC(O)=O)CC(C)(C)C(O)=O
C[C@@](CCC([O-])=O)(N=N[C@](C)(CCC([O-])=O)C#N)C#N OC(=O)CCCCC(O)=O
FCC(F)(F)F NCCCCCCNC(O)=O
CCC(CC)(C(=O)NC(N)=O)C(=O)OCC(=O)OC OC(=O)CC(CC(O)=O)C(O)=O
CCCCOCCOCCOC(=O)C(C)=C NC(CS)C(O)=O
CCCCCC(O)CC CNC(=O)O\N=C(\C)SC
CC(=C)C=C ClCl
CCCCO[N+]([O-])=O C/C=C/C(C)O
CCCCCl CN(CCCl)CCCl
CC(C)COC(=O)C(C)=C CCOCOCOCC
O=S(CCCl)CCS(=O)CCCl CN(C)CCOCCO
CCOC(OCC)OCC FCCCl
CCOC(=O)CCCCCC(=O)OCC CC[C@H](C)[C@H](NCCC#N)C(O)=O
CCCCCCCC(C(O)=O)C(O)=O CC[S](=O)CCS[P](=O)(OC)OC
CC(F)(F)F CC(COC(C)=O)OC(C)=O
CC(C)CC(C)OC(C)=O NC(=S)SCC(O)=O
CCCCC(CC)COCC(O)CO ClC(=O)C(Cl)=O
ClCC(Cl)C=C CC(C)C(N)C(=O)NCC(O)=O
CCO[P](=S)(OCC)SCC(=O)NC(C)C CCOCCOCC
CCCCC(C)C(C)O CN
O=CC=C(CCC=C(C)C)C CNC(N)=O
CCC(CC)([S](=O)(=O)CC)[S](=O)(=O)CC CCN(CC)C(=O)CC(C)C
CCOCCOC(=O)CCCCC(=O)OCCOCC CN(C)[P](F)(=O)N(C)C
C=CCOC(=O)OCCOCCOC(=O)OCC=C CCOC(C)=O
CCCCCCC(C)O OCCNC(=O)CCCCC(=O)NCCO
CC(C)(C)OOC(=O)C(C)(C)C CNC(=O)O\N=C(\C)C(C)SC
BrCCCBr OC(C(F)(F)F)C(F)(F)F
CCOC(=O)C(CC)(CC)C(=O)NC(N)=O CCC(CO)(CO)C(O)=O
CC(C)I CCO[P](=O)(OCC)OCC(C)C
C=CCC=C CCOC(=O)CCl
C=CC=C(C)C=CC=CC CCCS[S](=O)CCC
CCCCN(CCCC)N=O ClCC#N
FC(Cl)(Cl)Cl ON=C
CC(=O)OC(OC(C)=O)C(OC(C)=O)OC(C)=O CC(C)(C)CCO
CCO[P](=O)(OCC)SCCSCC CC(O)CCOCCC(C)O
CC(C)(C)CCCCCCCC(O)=O CC(C)C(C)=O
CC\C=C/CCOC(C)=O CCCO
CCCCCCCC(=O)NCC(O)=O CCN(N=O)C(N)=O
CC(C)CC(C)(O)C#CC(C)(O)CC(C)C O=CC=CC
CCCCCCCCOCCO CCOC(C)C(=O)C=O
CC(C)CC(NC(=O)C(C)NC(=O)CN)C(=O)NC(C(=O)O)C(C)C FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F
CCC(C)C\C(CC)=N\O CC(=O)NC(CC(C)C)C(=O)O
CC(Cl)(Cl)Cl NCC(O)=O
CCCCCCCCC(=O)N(C)C CCC(C)C(NC(C)=O)C(=O)O
CCO[Si](OCC)(OCC)OCC CC(=O)OC(OC(C)=O)C=C
CC(Br)CBr COC(=O)CCl
[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O CC(C)(N)C(O)=O
CCCCCCC(C)=O COC(C)=C
CC(C)CC(O)CC(C)C CCC(C)C=O
CC(C)COC(=O)C(C)C COC(=CC(O)=O)C(=O)C(C)=C
CC(=N\O)\C(C)=N\O CC[C@H](C)[C@@H](N)C(O)=O
CCCCC(NC(N)=O)C(=O)O [O-][N+](=O)CCl
NC(=O)NCCCCCC(=O)O OCCCBr
CCCCC(=O)NNC(=O)CCCC CCC(Cl)(CC)C(N)=O
CCCCC(CC)CO ClC=C
FC(F)=C(F)Cl CCOC(=O)C(C)O
CCC#CCC C=COCCOCCOC=C
ClC/C=C/CCl CCC(=O)OC(C)C(=O)OC
ClC(Cl)(Cl)C#N [O-]C(=O)C(Br)(Br)Br
CCC(CC)(C(=O)NC(N)=O)C(=O)OCOC CC(C)C[C@H](NC(C)=O)C(O)=O
COC(=O)C(CC=C)(CC=C)C(=O)NC(N)=O CCC(CC)(C(N)=O)C(N)=O
CCCCS NNC(=O)CC(=O)NN
C(CCO[N+](=O)O)CCO[N+](=O)O CCO[P](=O)(OCC)OCC
CCCCCCCCN(CCO)CCO [Br-]
CC\C(C)=C\CCC(C)=O CCC(N)(CO)CO
ClCC(Cl)(Cl)Cl CCO[P](=O)(OC)OC
CCCCCOC(=O)CCOCC CN(C)NC(=O)CCC(O)=O
CCCCBr CCCOCC(C)O
CCCCCCS(=O)(=O)NS(=O)(=O)CCCCCC CCOC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
C=CCSC(CCC(SCC=C)C(=O)O)C(=O)O CCC(C)(C)NC(N)=O
FC(F)(Cl)CCl NC(=O)NCl
C[Si](C)(C)N[Si](C)(C)C NC(=O)NCNC(N)=O
CCCCCCCCNCC(O)CO [O-][N+](=O)OCCO[N+]([O-])=O
CC(CC(C)O[N+](=O)O)O[N+](=O)O N#CCC=CC
CC(CCCC(C)(C)O)C=C CC(O)C(=O)OC(C)C(=O)OCC=C
OCC(CBr)(CBr)CBr CCCCOC(=O)CCC(C)=O
ClCC(=O)NC(=O)CCl CC(=O)CCCCCl
CC=C(C)C [O-]C(=O)C(Cl)=C(Cl)Cl
FC(F)(F)C(Br)=C O=C(NC(CO)C(=O)O)C(Cl)Cl
CC(C)SC(C)C ClCC=C
OC(=S)CCCCCCC(O)=S CCCOC
CC(CCNCCNCCC(C)CC(C)(C)C)CC(C)(C)C CC#N
CCCCCCOC CC(=O)OCC(COC(C)=O)OC(C)=O
OC(=O)CCC[Se][Se]CCCC(O)=O CC(=C)C(=O)OCC[N+](C)(C)CCC[S]([O-])(=O)=O
BrCCC=C OC(=O)CNC[P](O)(O)=O
CCCCCOC(=O)CC CCOC(=O)CC#N
CCC\C=C(/CC)C=O COCC(C)C
CC(C)(C)CC(C)(C)NC(=O)C=C COC(=O)OC
CC(=C)C(=O)OCCOC(=O)C(C)=C CCSC(=S)N[C@@H](C)C(O)=O
CCCCC(CC)C=O CCOCCOC(C)=O
OC(=O)CC[Se][Se]CCC(O)=O CCCC(C)O
CC(=C)C(=O)OCC(F)(F)F CC(Br)C(=O)NCC(=O)NCC(O)=O
